order_id,customer_id,product_id,product_category,product_price,order_value,quantity,discount_amount,discount_percentage,shipping_mode,expected_delivery_days,actual_delivery_days,delivery_delay,customer_region,warehouse_region,distance_km,is_remote_area,is_returned,return_reason
46,5,P22,Sports,965,965,1,193.0,20,Standard,3,3,0,North,North,551,0,0,NO_RETURN
47,5,P40,Beauty,796,1592,2,477.59999999999997,30,Standard,5,7,2,West,South,352,0,1,DELIVERY_DELAY
48,5,P58,Clothing,1073,2146,2,214.60000000000002,10,Standard,6,8,2,North,South,1928,1,0,NO_RETURN
49,5,P30,Clothing,1292,2584,2,1033.6000000000001,40,Express,5,8,3,West,West,1887,1,1,DELIVERY_DELAY
50,5,P48,Electronics,4088,8176,2,1635.2,20,Standard,4,7,3,West,South,612,0,1,DELIVERY_DELAY
51,5,P5,Beauty,2540,2540,1,508.0,20,Express,4,7,3,North,South,358,0,0,NO_RETURN
52,5,P25,Electronics,5884,5884,1,588.4,10,Standard,5,7,2,East,West,901,0,1,DELIVERY_DELAY
53,5,P14,Clothing,3641,7282,2,2912.8,40,Standard,6,8,2,West,North,1980,1,0,NO_RETURN
54,5,P20,Home,3394,6788,2,2715.2000000000003,40,Standard,5,5,0,East,West,1044,0,1,QUALITY_DEFECT
55,5,P22,Beauty,5679,17037,3,5111.099999999999,30,Standard,5,5,0,North,West,1262,1,1,QUALITY_DEFECT
56,6,P56,Electronics,3982,3982,1,0.0,0,Express,5,6,1,South,West,719,0,1,NOT_AS_DESCRIBED
57,6,P18,Beauty,3653,7306,2,0.0,0,Express,2,6,4,North,East,509,0,1,DELIVERY_DELAY
58,6,P50,Clothing,5539,5539,1,0.0,0,Standard,3,2,-1,South,South,308,0,1,NO_LONGER_NEEDED
59,6,P37,Clothing,1985,3970,2,794.0,20,Express,3,6,3,North,South,687,0,1,DELIVERY_DELAY
60,6,P38,Clothing,410,820,2,328.0,40,Express,5,9,4,South,North,1262,1,0,NO_RETURN
61,6,P7,Electronics,5911,11822,2,4728.8,40,Standard,6,5,-1,East,West,1404,1,0,NO_RETURN
62,6,P5,Home,4344,13032,3,2606.4,20,Standard,5,7,2,North,West,791,0,0,NO_RETURN
63,6,P46,Beauty,1453,2906,2,290.6,10,Express,6,9,3,West,West,942,0,1,DELIVERY_DELAY
64,6,P18,Sports,2840,2840,1,0.0,0,Express,5,5,0,West,West,738,0,0,NO_RETURN
65,6,P32,Clothing,2862,2862,1,858.6,30,Standard,4,5,1,East,East,1852,1,0,NO_RETURN
66,6,P45,Sports,2463,7389,3,0.0,0,Standard,2,2,0,West,West,1187,0,0,NO_RETURN
67,6,P45,Electronics,4100,12300,3,3690.0,30,Express,2,1,-1,East,South,878,0,0,NO_RETURN
68,6,P20,Electronics,5639,16917,3,3383.4,20,Express,6,9,3,East,West,1577,1,0,NO_RETURN
69,6,P22,Sports,3082,9246,3,2773.7999999999997,30,Express,4,5,1,South,North,1527,1,1,QUALITY_DEFECT
70,7,P49,Sports,5853,5853,1,585.3000000000001,10,Standard,5,6,1,East,North,1755,1,1,QUALITY_DEFECT
71,7,P15,Home,3156,3156,1,631.2,20,Standard,6,6,0,East,North,161,0,1,NOT_AS_DESCRIBED
72,7,P41,Electronics,4221,4221,1,0.0,0,Express,5,7,2,West,East,427,0,1,DELIVERY_DELAY
73,7,P17,Clothing,4113,4113,1,0.0,0,Express,5,4,-1,North,South,355,0,1,NO_LONGER_NEEDED
74,7,P16,Clothing,1170,3510,3,1053.0,30,Standard,6,8,2,West,West,658,0,1,DELIVERY_DELAY
75,7,P28,Sports,2701,8103,3,3241.2000000000003,40,Standard,6,10,4,North,South,1331,1,1,DELIVERY_DELAY
76,7,P17,Electronics,5610,5610,1,561.0,10,Standard,3,6,3,North,South,55,0,0,NO_RETURN
77,7,P29,Beauty,5847,17541,3,5262.3,30,Express,2,2,0,East,East,1489,1,0,NO_RETURN
78,7,P5,Beauty,5831,5831,1,1166.2,20,Standard,5,4,-1,South,South,1910,1,0,NO_RETURN
79,8,P4,Clothing,1559,3118,2,1247.2,40,Express,5,4,-1,West,East,1483,1,0,NO_RETURN
80,8,P18,Beauty,4299,12897,3,3869.1,30,Express,2,5,3,North,West,1554,1,1,DELIVERY_DELAY
81,8,P39,Home,2251,2251,1,0.0,0,Standard,6,9,3,North,East,1230,1,1,DELIVERY_DELAY
82,8,P49,Clothing,1635,3270,2,1308.0,40,Express,4,4,0,West,West,236,0,0,NO_RETURN
83,8,P23,Beauty,3545,7090,2,1418.0,20,Standard,3,4,1,West,West,640,0,0,NO_RETURN
84,8,P53,Beauty,4706,4706,1,1411.8,30,Standard,4,5,1,East,North,1632,1,1,NOT_AS_DESCRIBED
85,8,P53,Sports,209,627,3,250.8,40,Express,5,4,-1,South,East,1325,1,0,NO_RETURN
86,8,P41,Beauty,3821,3821,1,382.1,10,Express,6,6,0,East,West,1853,1,0,NO_RETURN
87,8,P8,Beauty,436,1308,3,523.2,40,Standard,3,4,1,North,West,240,0,0,NO_RETURN
88,8,P54,Electronics,1129,2258,2,0.0,0,Standard,5,9,4,East,East,900,0,0,NO_RETURN
89,9,P30,Electronics,4715,4715,1,1414.5,30,Standard,6,9,3,South,North,615,0,1,DELIVERY_DELAY
90,9,P22,Beauty,4359,8718,2,0.0,0,Express,4,7,3,West,South,964,0,1,DELIVERY_DELAY
91,9,P31,Sports,3027,6054,2,2421.6,40,Express,5,6,1,South,South,1221,1,1,NOT_AS_DESCRIBED
92,9,P55,Electronics,3565,3565,1,713.0,20,Express,5,7,2,South,West,125,0,1,DELIVERY_DELAY
93,9,P33,Electronics,5034,10068,2,0.0,0,Express,2,5,3,West,North,1529,1,0,NO_RETURN
94,9,P27,Electronics,5563,5563,1,0.0,0,Express,4,5,1,West,North,1794,1,0,NO_RETURN
95,9,P55,Home,5724,17172,3,5151.599999999999,30,Express,5,8,3,North,North,530,0,0,NO_RETURN
96,9,P15,Home,940,1880,2,0.0,0,Standard,5,5,0,East,North,144,0,0,NO_RETURN
97,9,P51,Home,659,1318,2,263.6,20,Express,5,5,0,South,West,1209,1,1,QUALITY_DEFECT
98,9,P12,Electronics,846,2538,3,761.4,30,Standard,5,8,3,South,South,994,0,1,DELIVERY_DELAY
99,9,P30,Home,2291,6873,3,0.0,0,Express,4,8,4,South,North,954,0,0,NO_RETURN
100,9,P38,Home,2650,7950,3,2385.0,30,Express,5,6,1,South,West,1797,1,1,NOT_AS_DESCRIBED
101,9,P16,Clothing,3324,9972,3,1994.4,20,Express,4,3,-1,West,East,66,0,0,NO_RETURN
102,9,P56,Sports,5818,17454,3,0.0,0,Express,4,4,0,East,South,1353,1,0,NO_RETURN
103,9,P40,Electronics,2253,6759,3,675.9000000000001,10,Standard,2,3,1,West,North,1236,1,0,NO_RETURN
104,10,P59,Clothing,2617,5234,2,1570.2,30,Standard,3,3,0,East,East,1750,1,0,NO_RETURN
105,10,P17,Electronics,4147,8294,2,1658.8000000000002,20,Standard,5,4,-1,South,South,1811,1,0,NO_RETURN
106,10,P55,Beauty,4765,9530,2,0.0,0,Express,2,3,1,North,West,804,0,1,NOT_AS_DESCRIBED
107,10,P25,Sports,5430,10860,2,0.0,0,Standard,5,4,-1,East,South,1376,1,0,NO_RETURN
108,10,P41,Clothing,4003,12009,3,2401.8,20,Express,2,2,0,North,North,673,0,1,NO_LONGER_NEEDED
109,10,P7,Clothing,2123,6369,3,636.9000000000001,10,Express,5,6,1,West,South,1863,1,1,NO_LONGER_NEEDED
110,10,P54,Clothing,4208,12624,3,3787.2,30,Express,2,6,4,East,South,958,0,0,NO_RETURN
111,10,P16,Beauty,3171,3171,1,634.2,20,Express,2,4,2,East,South,300,0,0,NO_RETURN
112,10,P6,Beauty,5629,5629,1,2251.6,40,Standard,2,3,1,South,South,1661,1,0,NO_RETURN
113,10,P14,Sports,762,2286,3,228.60000000000002,10,Standard,3,4,1,South,North,617,0,0,NO_RETURN
114,11,P17,Sports,1629,1629,1,0.0,0,Standard,2,3,1,South,East,82,0,0,NO_RETURN
115,11,P17,Electronics,629,629,1,188.7,30,Standard,2,4,2,West,East,1101,0,1,DELIVERY_DELAY
116,11,P7,Sports,3902,11706,3,1170.6000000000001,10,Standard,6,7,1,West,North,174,0,0,NO_RETURN
117,11,P55,Beauty,3490,6980,2,0.0,0,Express,5,4,-1,North,East,1295,1,0,NO_RETURN
118,11,P5,Electronics,1233,2466,2,986.4000000000001,40,Express,5,8,3,East,West,1085,0,1,DELIVERY_DELAY
119,11,P28,Sports,1012,3036,3,0.0,0,Standard,5,7,2,South,West,744,0,1,DELIVERY_DELAY
120,11,P26,Beauty,3607,10821,3,0.0,0,Express,5,6,1,East,East,362,0,0,NO_RETURN
121,11,P5,Beauty,947,947,1,0.0,0,Express,2,6,4,East,South,1189,0,1,DELIVERY_DELAY
122,11,P38,Clothing,4800,14400,3,2880.0,20,Standard,5,6,1,West,North,639,0,1,NO_LONGER_NEEDED
123,11,P7,Home,4934,14802,3,1480.2,10,Standard,5,5,0,North,East,1781,1,0,NO_RETURN
124,12,P49,Clothing,2482,7446,3,744.6,10,Express,6,9,3,North,East,109,0,1,DELIVERY_DELAY
125,12,P18,Electronics,5956,11912,2,2382.4,20,Express,2,2,0,South,West,192,0,0,NO_RETURN
126,12,P48,Electronics,5386,5386,1,0.0,0,Standard,5,7,2,West,East,372,0,0,NO_RETURN
127,12,P20,Home,2857,8571,3,3428.4,40,Standard,2,2,0,South,North,1430,1,0,NO_RETURN
128,12,P18,Clothing,3829,11487,3,3446.1,30,Express,6,8,2,West,East,491,0,1,DELIVERY_DELAY
129,12,P8,Sports,3027,6054,2,0.0,0,Express,6,8,2,East,North,501,0,0,NO_RETURN
130,12,P39,Beauty,648,648,1,64.8,10,Express,3,3,0,East,East,721,0,0,NO_RETURN
131,12,P1,Clothing,4274,12822,3,3846.6,30,Standard,3,5,2,South,East,197,0,0,NO_RETURN
132,12,P56,Beauty,546,1092,2,0.0,0,Express,2,3,1,West,West,1503,1,0,NO_RETURN
133,12,P19,Beauty,1143,2286,2,0.0,0,Express,3,6,3,West,East,230,0,1,DELIVERY_DELAY
134,12,P55,Beauty,1067,1067,1,320.09999999999997,30,Express,6,5,-1,West,East,1577,1,0,NO_RETURN
135,12,P15,Home,2928,2928,1,0.0,0,Standard,6,9,3,South,East,769,0,0,NO_RETURN
136,12,P16,Electronics,1042,1042,1,208.4,20,Standard,3,6,3,South,North,412,0,0,NO_RETURN
137,13,P49,Sports,4947,9894,2,3957.6000000000004,40,Express,4,4,0,West,North,1010,0,1,NOT_AS_DESCRIBED
138,13,P51,Home,2450,7350,3,0.0,0,Express,6,5,-1,East,West,975,0,0,NO_RETURN
139,13,P4,Clothing,3220,6440,2,0.0,0,Standard,6,9,3,West,West,1238,1,0,NO_RETURN
140,13,P51,Sports,536,1072,2,428.8,40,Standard,4,7,3,West,South,176,0,0,NO_RETURN
141,13,P7,Beauty,3013,9039,3,0.0,0,Standard,2,2,0,West,West,1123,0,1,QUALITY_DEFECT
142,13,P24,Home,2517,5034,2,1510.2,30,Express,6,5,-1,East,North,725,0,1,QUALITY_DEFECT
143,13,P44,Sports,3366,6732,2,1346.4,20,Standard,4,3,-1,South,East,685,0,0,NO_RETURN
144,13,P9,Beauty,5074,15222,3,0.0,0,Express,6,8,2,East,South,1422,1,0,NO_RETURN
145,13,P6,Sports,5492,16476,3,4942.8,30,Express,2,3,1,East,South,1997,1,1,QUALITY_DEFECT
146,13,P50,Home,4183,4183,1,418.3,10,Standard,3,2,-1,East,North,1089,0,0,NO_RETURN
147,13,P54,Sports,4513,4513,1,902.6,20,Standard,6,8,2,South,South,420,0,0,NO_RETURN
148,13,P52,Sports,1556,4668,3,1400.3999999999999,30,Standard,5,6,1,South,West,1300,1,0,NO_RETURN
149,13,P49,Home,3877,3877,1,1550.8000000000002,40,Standard,4,6,2,South,East,1439,1,0,NO_RETURN
150,13,P29,Sports,3982,7964,2,2389.2,30,Express,3,3,0,South,East,156,0,1,NOT_AS_DESCRIBED
151,13,P36,Home,1040,3120,3,1248.0,40,Standard,4,3,-1,South,East,970,0,1,QUALITY_DEFECT
152,14,P53,Electronics,3895,7790,2,0.0,0,Express,2,4,2,East,South,840,0,0,NO_RETURN
153,14,P24,Clothing,2039,2039,1,407.8,20,Standard,4,4,0,South,North,637,0,1,NO_LONGER_NEEDED
154,14,P49,Electronics,5979,11958,2,3587.4,30,Standard,2,1,-1,East,South,1760,1,1,QUALITY_DEFECT
155,14,P47,Sports,5187,15561,3,4668.3,30,Standard,4,4,0,East,North,147,0,1,QUALITY_DEFECT
156,14,P41,Beauty,5302,10604,2,0.0,0,Standard,5,8,3,North,South,1521,1,1,DELIVERY_DELAY
157,14,P19,Electronics,3716,3716,1,1486.4,40,Express,3,6,3,West,South,1410,1,1,DELIVERY_DELAY
158,14,P34,Clothing,3154,3154,1,1261.6000000000001,40,Standard,5,7,2,North,West,814,0,0,NO_RETURN
159,14,P48,Home,333,666,2,0.0,0,Express,3,7,4,North,East,323,0,0,NO_RETURN
160,14,P23,Clothing,4672,9344,2,934.4000000000001,10,Express,5,9,4,South,South,179,0,1,DELIVERY_DELAY
161,15,P13,Home,558,558,1,0.0,0,Express,4,7,3,West,West,568,0,1,DELIVERY_DELAY
162,15,P49,Clothing,5499,5499,1,1099.8,20,Express,2,6,4,East,East,304,0,1,DELIVERY_DELAY
163,15,P28,Home,3476,10428,3,3128.4,30,Express,4,4,0,West,West,802,0,1,NOT_AS_DESCRIBED
164,15,P47,Clothing,3677,3677,1,1103.1,30,Standard,6,7,1,East,North,213,0,0,NO_RETURN
165,15,P43,Home,2621,5242,2,1572.6,30,Express,3,7,4,West,East,965,0,1,DELIVERY_DELAY
166,15,P47,Clothing,3088,9264,3,2779.2,30,Express,2,1,-1,West,East,1100,0,0,NO_RETURN
167,15,P2,Electronics,1369,4107,3,1232.1,30,Standard,3,2,-1,South,East,791,0,0,NO_RETURN
168,15,P37,Beauty,465,1395,3,139.5,10,Express,4,5,1,West,North,1225,1,1,QUALITY_DEFECT
169,16,P21,Beauty,5521,11042,2,1104.2,10,Standard,2,6,4,South,West,1110,0,1,DELIVERY_DELAY
170,16,P59,Beauty,4801,4801,1,960.2,20,Express,5,5,0,East,West,459,0,0,NO_RETURN
171,16,P9,Clothing,806,1612,2,161.20000000000002,10,Express,2,6,4,East,East,1503,1,0,NO_RETURN
172,16,P36,Clothing,4641,9282,2,1856.4,20,Standard,3,4,1,South,North,461,0,0,NO_RETURN
173,16,P16,Electronics,4247,4247,1,849.4000000000001,20,Express,5,8,3,South,North,184,0,0,NO_RETURN
174,16,P26,Home,4121,12363,3,3708.8999999999996,30,Express,6,5,-1,South,East,1365,1,0,NO_RETURN
175,16,P29,Clothing,4016,12048,3,4819.2,40,Express,3,6,3,South,South,936,0,1,DELIVERY_DELAY
176,16,P59,Sports,653,653,1,261.2,40,Standard,4,4,0,South,East,1964,1,0,NO_RETURN
177,16,P23,Electronics,4450,8900,2,0.0,0,Express,3,7,4,East,South,1330,1,1,DELIVERY_DELAY
178,16,P40,Home,4570,4570,1,1828.0,40,Standard,6,9,3,South,South,1399,1,1,DELIVERY_DELAY
179,16,P47,Sports,5157,10314,2,4125.6,40,Standard,2,1,-1,North,East,1383,1,1,QUALITY_DEFECT
180,16,P27,Sports,5263,15789,3,0.0,0,Express,6,7,1,East,West,551,0,0,NO_RETURN
181,16,P20,Beauty,3915,3915,1,0.0,0,Standard,5,7,2,West,West,467,0,0,NO_RETURN
182,17,P56,Home,2815,8445,3,1689.0,20,Express,3,4,1,North,East,545,0,0,NO_RETURN
183,17,P8,Beauty,2391,4782,2,478.20000000000005,10,Standard,2,1,-1,East,West,1819,1,0,NO_RETURN
184,17,P27,Sports,2233,2233,1,446.6,20,Express,3,3,0,West,West,1071,0,0,NO_RETURN
185,17,P32,Home,389,389,1,116.69999999999999,30,Express,3,3,0,East,North,153,0,1,NOT_AS_DESCRIBED
186,17,P39,Beauty,5559,16677,3,5003.099999999999,30,Express,6,5,-1,North,West,324,0,1,NOT_AS_DESCRIBED
187,17,P49,Home,3503,7006,2,0.0,0,Express,2,5,3,South,East,1183,0,1,DELIVERY_DELAY
188,17,P5,Home,3364,10092,3,3027.6,30,Express,6,10,4,North,South,248,0,0,NO_RETURN
189,17,P24,Beauty,2977,8931,3,1786.2,20,Standard,3,6,3,West,North,142,0,0,NO_RETURN
190,17,P9,Clothing,2928,5856,2,2342.4,40,Express,3,6,3,South,East,1957,1,1,DELIVERY_DELAY
191,17,P21,Sports,1531,3062,2,1224.8,40,Express,6,7,1,West,East,1022,0,0,NO_RETURN
192,18,P44,Home,1097,2194,2,877.6,40,Express,2,5,3,West,East,1392,1,1,DELIVERY_DELAY
193,18,P37,Sports,2064,6192,3,0.0,0,Express,3,6,3,West,South,1732,1,0,NO_RETURN
194,18,P3,Electronics,4890,14670,3,0.0,0,Standard,2,4,2,East,West,360,0,0,NO_RETURN
195,18,P45,Beauty,1870,3740,2,1496.0,40,Express,2,6,4,South,South,1198,0,1,DELIVERY_DELAY
196,18,P43,Home,4118,12354,3,3706.2,30,Express,3,5,2,East,East,1434,1,0,NO_RETURN
197,18,P40,Home,4166,4166,1,416.6,10,Express,6,7,1,South,East,1629,1,0,NO_RETURN
198,18,P46,Home,1898,5694,3,1708.2,30,Express,5,6,1,East,East,299,0,0,NO_RETURN
199,18,P44,Sports,4649,9298,2,2789.4,30,Express,3,4,1,North,East,1512,1,1,QUALITY_DEFECT
200,18,P60,Home,3823,11469,3,2293.8,20,Express,3,3,0,East,East,331,0,0,NO_RETURN
201,18,P40,Clothing,5007,5007,1,500.70000000000005,10,Standard,6,6,0,South,North,255,0,0,NO_RETURN
202,18,P22,Beauty,4069,4069,1,406.90000000000003,10,Standard,6,6,0,West,West,1027,0,0,NO_RETURN
203,18,P49,Electronics,2553,5106,2,1021.2,20,Standard,2,6,4,South,North,1920,1,1,DELIVERY_DELAY
204,18,P27,Electronics,1640,1640,1,492.0,30,Express,3,7,4,East,North,68,0,1,DELIVERY_DELAY
205,19,P19,Home,3922,11766,3,4706.400000000001,40,Express,3,6,3,West,East,444,0,1,DELIVERY_DELAY
206,19,P22,Clothing,1531,4593,3,1377.8999999999999,30,Express,3,2,-1,East,East,1212,1,1,SIZE_FIT_ISSUE
207,19,P40,Electronics,5432,10864,2,3259.2,30,Express,2,4,2,North,South,337,0,0,NO_RETURN
208,19,P21,Beauty,2232,2232,1,446.40000000000003,20,Express,3,5,2,East,East,668,0,0,NO_RETURN
209,19,P47,Sports,4893,4893,1,978.6,20,Express,3,2,-1,North,West,678,0,1,QUALITY_DEFECT
210,19,P44,Beauty,4316,12948,3,2589.6000000000004,20,Standard,4,5,1,South,South,323,0,1,NOT_AS_DESCRIBED
211,19,P30,Electronics,5162,10324,2,3097.2,30,Express,6,10,4,South,South,1443,1,1,DELIVERY_DELAY
212,19,P56,Sports,870,2610,3,783.0,30,Express,2,5,3,North,North,1747,1,1,DELIVERY_DELAY
213,19,P58,Sports,4340,4340,1,1736.0,40,Standard,3,4,1,West,North,1443,1,0,NO_RETURN
214,20,P58,Clothing,4380,8760,2,0.0,0,Express,3,6,3,West,West,1204,1,1,DELIVERY_DELAY
215,20,P36,Clothing,3987,11961,3,2392.2000000000003,20,Standard,5,6,1,North,South,1234,1,0,NO_RETURN
216,20,P3,Clothing,3670,7340,2,0.0,0,Standard,2,4,2,North,East,887,0,1,DELIVERY_DELAY
217,20,P50,Electronics,1309,3927,3,1178.1,30,Express,5,7,2,West,West,214,0,1,DELIVERY_DELAY
218,20,P9,Sports,5553,11106,2,0.0,0,Standard,6,8,2,South,South,1759,1,0,NO_RETURN
219,20,P49,Clothing,386,772,2,231.6,30,Express,6,8,2,South,South,993,0,0,NO_RETURN
220,20,P10,Home,2458,2458,1,0.0,0,Standard,5,8,3,North,South,472,0,0,NO_RETURN
221,20,P7,Clothing,5065,5065,1,1519.5,30,Standard,3,7,4,North,West,948,0,1,DELIVERY_DELAY
222,20,P35,Electronics,1979,1979,1,197.9,10,Express,3,7,4,East,East,535,0,0,NO_RETURN
223,20,P57,Home,1373,4119,3,1647.6000000000001,40,Standard,5,6,1,East,North,1190,0,0,NO_RETURN
224,20,P57,Sports,1634,4902,3,1470.6,30,Express,2,3,1,West,East,1476,1,0,NO_RETURN
225,20,P27,Beauty,1422,2844,2,853.1999999999999,30,Standard,6,8,2,South,South,665,0,0,NO_RETURN
226,20,P52,Electronics,3993,3993,1,1597.2,40,Express,5,8,3,South,West,547,0,1,DELIVERY_DELAY
227,20,P14,Home,2905,8715,3,0.0,0,Express,4,3,-1,South,North,599,0,0,NO_RETURN
228,20,P44,Beauty,5155,15465,3,0.0,0,Standard,3,6,3,South,West,477,0,0,NO_RETURN
229,21,P14,Clothing,1756,5268,3,0.0,0,Express,3,7,4,South,West,1924,1,1,DELIVERY_DELAY
230,21,P36,Electronics,2834,5668,2,1700.3999999999999,30,Express,6,10,4,East,East,585,0,0,NO_RETURN
231,21,P33,Home,4273,8546,2,0.0,0,Express,4,4,0,East,East,897,0,0,NO_RETURN
232,21,P37,Clothing,2012,6036,3,603.6,10,Standard,4,7,3,West,East,362,0,0,NO_RETURN
233,21,P22,Electronics,2084,4168,2,1667.2,40,Standard,5,8,3,East,East,1613,1,0,NO_RETURN
234,21,P47,Beauty,5456,16368,3,4910.4,30,Express,3,7,4,East,South,336,0,1,DELIVERY_DELAY
235,21,P32,Sports,1707,5121,3,0.0,0,Standard,2,6,4,North,North,894,0,0,NO_RETURN
236,21,P54,Electronics,5366,5366,1,0.0,0,Standard,2,2,0,West,East,173,0,0,NO_RETURN
237,21,P41,Sports,5662,16986,3,5095.8,30,Express,2,1,-1,West,North,84,0,1,NOT_AS_DESCRIBED
238,21,P19,Sports,340,1020,3,306.0,30,Standard,2,1,-1,South,South,443,0,1,NOT_AS_DESCRIBED
239,21,P18,Home,3451,3451,1,690.2,20,Express,5,8,3,South,South,664,0,0,NO_RETURN
240,21,P42,Clothing,5523,5523,1,0.0,0,Express,5,7,2,West,North,1354,1,0,NO_RETURN
241,22,P32,Clothing,3754,11262,3,2252.4,20,Standard,6,5,-1,South,South,1895,1,0,NO_RETURN
242,22,P31,Sports,2420,2420,1,0.0,0,Express,6,9,3,North,South,1952,1,0,NO_RETURN
243,22,P2,Home,1897,5691,3,569.1,10,Express,2,3,1,South,South,1210,1,0,NO_RETURN
244,22,P44,Beauty,4628,9256,2,2776.7999999999997,30,Standard,2,5,3,East,North,250,0,1,DELIVERY_DELAY
