order_id,is_returned,return_reason,return_days_after_delivery
O518,1,SIZE_FIT_ISSUE,3
O519,1,SIZE_FIT_ISSUE,7
O520,0,NONE,0
O521,0,NONE,0
O522,1,NO_LONGER_NEEDED,4
O523,0,NONE,0
O524,1,QUALITY_DEFECT,10
O525,0,NONE,0
O526,0,NONE,0
O527,0,NONE,0
O528,0,NONE,0
O529,1,WRONG_ITEM,8
O530,0,NONE,0
O531,0,NONE,0
O532,0,NONE,0
O533,0,NONE,0
O534,0,NONE,0
O535,0,NONE,0
O536,0,NONE,0
O537,0,NONE,0
O538,0,NONE,0
O539,1,DELIVERY_DELAY,10
O540,0,NONE,0
O541,0,NONE,0
O542,0,NONE,0
O543,0,NONE,0
O544,0,NONE,0
O545,0,NONE,0
O546,1,SIZE_FIT_ISSUE,7
O547,1,SIZE_FIT_ISSUE,7
O548,0,NONE,0
O549,1,SIZE_FIT_ISSUE,8
O550,0,NONE,0
O551,0,NONE,0
O552,0,NONE,0
O553,0,NONE,0
O554,0,NONE,0
O555,0,NONE,0
O556,0,NONE,0
O557,0,NONE,0
O558,1,SIZE_FIT_ISSUE,3
O559,0,NONE,0
O560,0,NONE,0
O561,0,NONE,0
O562,0,NONE,0
O563,0,NONE,0
O564,0,NONE,0
O565,1,SIZE_FIT_ISSUE,7
O566,1,SIZE_FIT_ISSUE,5
O567,0,NONE,0
O568,1,QUALITY_DEFECT,10
O569,0,NONE,0
O570,1,SIZE_FIT_ISSUE,1
O571,1,SIZE_FIT_ISSUE,8
O572,1,SIZE_FIT_ISSUE,8
O573,0,NONE,0
O574,0,NONE,0
O575,0,NONE,0
O576,0,NONE,0
O577,0,NONE,0
O578,0,NONE,0
O579,0,NONE,0
O580,0,NONE,0
O581,0,NONE,0
O582,0,NONE,0
O583,0,NONE,0
O584,0,NONE,0
O585,1,SIZE_FIT_ISSUE,7
O586,1,SIZE_FIT_ISSUE,1
O587,1,QUALITY_DEFECT,5
O588,0,NONE,0
O589,0,NONE,0
O590,0,NONE,0
O591,1,SIZE_FIT_ISSUE,4
O592,0,NONE,0
O593,0,NONE,0
O594,0,NONE,0
O595,1,SIZE_FIT_ISSUE,2
O596,0,NONE,0
O597,0,NONE,0
O598,1,SIZE_FIT_ISSUE,10
O599,0,NONE,0
O600,0,NONE,0
O601,0,NONE,0
O602,0,NONE,0
O603,1,SIZE_FIT_ISSUE,4
O604,0,NONE,0
O605,0,NONE,0
O606,0,NONE,0
O607,1,SIZE_FIT_ISSUE,3
O608,0,NONE,0
O609,1,QUALITY_DEFECT,10
O610,1,DELIVERY_DELAY,8
O611,0,NONE,0
O612,0,NONE,0
O613,0,NONE,0
O614,0,NONE,0
O615,1,DELIVERY_DELAY,9
O616,0,NONE,0
O617,0,NONE,0
O618,0,NONE,0
O619,0,NONE,0
O620,0,NONE,0
O621,0,NONE,0
O622,0,NONE,0
O623,0,NONE,0
O624,0,NONE,0
O625,0,NONE,0
O626,0,NONE,0
O627,1,SIZE_FIT_ISSUE,1
O628,0,NONE,0
O629,0,NONE,0
O630,0,NONE,0
O631,0,NONE,0
O632,0,NONE,0
O633,0,NONE,0
O634,0,NONE,0
O635,1,SIZE_FIT_ISSUE,3
O636,0,NONE,0
O637,0,NONE,0
O638,0,NONE,0
O639,1,SIZE_FIT_ISSUE,6
O640,0,NONE,0
O641,1,SIZE_FIT_ISSUE,3
O642,0,NONE,0
O643,0,NONE,0
O644,0,NONE,0
O645,1,SIZE_FIT_ISSUE,7
O646,1,DELIVERY_DELAY,7
O647,1,SIZE_FIT_ISSUE,5
O648,0,NONE,0
O649,1,SIZE_FIT_ISSUE,7
O650,0,NONE,0
O651,0,NONE,0
O652,0,NONE,0
O653,0,NONE,0
O654,0,NONE,0
O655,1,QUALITY_DEFECT,7
O656,0,NONE,0
O657,1,QUALITY_DEFECT,2
O658,1,QUALITY_DEFECT,1
O659,0,NONE,0
O660,0,NONE,0
O661,1,SIZE_FIT_ISSUE,8
O662,1,SIZE_FIT_ISSUE,6
O663,0,NONE,0
O664,1,SIZE_FIT_ISSUE,9
O665,0,NONE,0
O666,0,NONE,0
O667,1,SIZE_FIT_ISSUE,7
O668,0,NONE,0
O669,0,NONE,0
O670,1,SIZE_FIT_ISSUE,4
O671,0,NONE,0
O672,1,SIZE_FIT_ISSUE,4
O673,0,NONE,0
O674,0,NONE,0
O675,1,QUALITY_DEFECT,4
O676,0,NONE,0
O677,0,NONE,0
O678,0,NONE,0
O679,1,QUALITY_DEFECT,8
O680,0,NONE,0
O681,0,NONE,0
O682,0,NONE,0
O683,0,NONE,0
O684,0,NONE,0
O685,0,NONE,0
O686,0,NONE,0
O687,0,NONE,0
O688,1,DELIVERY_DELAY,9
O689,0,NONE,0
O690,0,NONE,0
O691,0,NONE,0
O692,1,SIZE_FIT_ISSUE,5
O693,0,NONE,0
O694,0,NONE,0
O695,0,NONE,0
O696,0,NONE,0
O697,1,SIZE_FIT_ISSUE,9
O698,1,QUALITY_DEFECT,5
O699,0,NONE,0
O700,1,QUALITY_DEFECT,8
O701,0,NONE,0
O702,0,NONE,0
O703,0,NONE,0
O704,0,NONE,0
O705,0,NONE,0
O706,1,WRONG_ITEM,2
O707,0,NONE,0
O708,0,NONE,0
O709,1,DELIVERY_DELAY,2
O710,0,NONE,0
O711,1,QUALITY_DEFECT,1
O712,0,NONE,0
O713,0,NONE,0
O714,0,NONE,0
O715,0,NONE,0
O716,0,NONE,0
O717,0,NONE,0
O718,0,NONE,0
O719,0,NONE,0
O720,0,NONE,0
O721,0,NONE,0
O722,0,NONE,0
O723,1,SIZE_FIT_ISSUE,3
O724,0,NONE,0
O725,1,QUALITY_DEFECT,2
O726,0,NONE,0
O727,0,NONE,0
O728,0,NONE,0
O729,0,NONE,0
O730,0,NONE,0
O731,1,SIZE_FIT_ISSUE,5
O732,0,NONE,0
O733,0,NONE,0
O734,0,NONE,0
O735,0,NONE,0
O736,1,QUALITY_DEFECT,2
O737,0,NONE,0
O738,0,NONE,0
O739,0,NONE,0
O740,1,DELIVERY_DELAY,1
O741,0,NONE,0
O742,0,NONE,0
O743,0,NONE,0
O744,0,NONE,0
O745,0,NONE,0
O746,0,NONE,0
O747,0,NONE,0
O748,0,NONE,0
O749,0,NONE,0
O750,1,QUALITY_DEFECT,5
O751,1,NO_LONGER_NEEDED,8
O752,0,NONE,0
O753,1,SIZE_FIT_ISSUE,1
O754,0,NONE,0
O755,0,NONE,0
O756,0,NONE,0
O757,0,NONE,0
O758,1,SIZE_FIT_ISSUE,5
O759,0,NONE,0
O760,0,NONE,0
O761,0,NONE,0
O762,0,NONE,0
O763,0,NONE,0
O764,0,NONE,0
O765,0,NONE,0
O766,0,NONE,0
O767,0,NONE,0
O768,0,NONE,0
O769,1,DELIVERY_DELAY,1
O770,1,SIZE_FIT_ISSUE,10
O771,0,NONE,0
O772,0,NONE,0
O773,0,NONE,0
O774,0,NONE,0
O775,1,SIZE_FIT_ISSUE,2
O776,1,NO_LONGER_NEEDED,8
O777,0,NONE,0
O778,1,QUALITY_DEFECT,4
O779,0,NONE,0
O780,1,QUALITY_DEFECT,10
O781,0,NONE,0
O782,0,NONE,0
O783,0,NONE,0
O784,0,NONE,0
O785,0,NONE,0
O786,1,SIZE_FIT_ISSUE,6
O787,0,NONE,0
O788,1,QUALITY_DEFECT,6
O789,0,NONE,0
O790,0,NONE,0
O791,0,NONE,0
O792,1,SIZE_FIT_ISSUE,9
O793,1,SIZE_FIT_ISSUE,4
O794,0,NONE,0
O795,0,NONE,0
O796,0,NONE,0
O797,1,SIZE_FIT_ISSUE,8
O798,1,SIZE_FIT_ISSUE,6
O799,1,NO_LONGER_NEEDED,2
O800,0,NONE,0
O801,0,NONE,0
O802,1,SIZE_FIT_ISSUE,4
O803,0,NONE,0
O804,1,SIZE_FIT_ISSUE,5
O805,0,NONE,0
O806,0,NONE,0
O807,0,NONE,0
O808,0,NONE,0
O809,0,NONE,0
O810,0,NONE,0
O811,1,QUALITY_DEFECT,10
O812,0,NONE,0
O813,0,NONE,0
O814,0,NONE,0
O815,1,SIZE_FIT_ISSUE,8
O816,0,NONE,0
O817,1,SIZE_FIT_ISSUE,9
O818,0,NONE,0
O819,0,NONE,0
O820,1,SIZE_FIT_ISSUE,1
O821,0,NONE,0
O822,0,NONE,0
O823,0,NONE,0
O824,0,NONE,0
O825,0,NONE,0
O826,0,NONE,0
O827,1,SIZE_FIT_ISSUE,5
O828,0,NONE,0
O829,0,NONE,0
O830,0,NONE,0
O831,0,NONE,0
O832,1,SIZE_FIT_ISSUE,9
O833,1,SIZE_FIT_ISSUE,2
O834,0,NONE,0
O835,1,SIZE_FIT_ISSUE,10
O836,1,QUALITY_DEFECT,9
O837,0,NONE,0
O838,0,NONE,0
O839,0,NONE,0
O840,0,NONE,0
O841,0,NONE,0
O842,1,DELIVERY_DELAY,4
O843,1,QUALITY_DEFECT,6
O844,0,NONE,0
O845,0,NONE,0
O846,0,NONE,0
O847,0,NONE,0
O848,0,NONE,0
O849,1,SIZE_FIT_ISSUE,6
O850,0,NONE,0
O851,0,NONE,0
O852,0,NONE,0
O853,1,SIZE_FIT_ISSUE,5
O854,0,NONE,0
O855,0,NONE,0
O856,0,NONE,0
O857,0,NONE,0
O858,0,NONE,0
O859,1,SIZE_FIT_ISSUE,10
O860,1,SIZE_FIT_ISSUE,2
O861,1,DELIVERY_DELAY,8
O862,0,NONE,0
O863,0,NONE,0
O864,0,NONE,0
O865,0,NONE,0
O866,0,NONE,0
O867,1,WRONG_ITEM,6
O868,0,NONE,0
O869,0,NONE,0
O870,0,NONE,0
O871,0,NONE,0
O872,0,NONE,0
O873,1,DELIVERY_DELAY,7
O874,0,NONE,0
O875,0,NONE,0
O876,0,NONE,0
O877,0,NONE,0
O878,1,SIZE_FIT_ISSUE,10
O879,0,NONE,0
O880,0,NONE,0
O881,0,NONE,0
O882,1,SIZE_FIT_ISSUE,6
O883,0,NONE,0
O884,0,NONE,0
O885,1,QUALITY_DEFECT,9
O886,1,SIZE_FIT_ISSUE,9
O887,1,SIZE_FIT_ISSUE,7
O888,0,NONE,0
O889,0,NONE,0
O890,1,DELIVERY_DELAY,9
O891,0,NONE,0
O892,0,NONE,0
O893,0,NONE,0
O894,0,NONE,0
O895,0,NONE,0
O896,0,NONE,0
O897,1,SIZE_FIT_ISSUE,10
O898,0,NONE,0
O899,1,SIZE_FIT_ISSUE,5
O900,1,SIZE_FIT_ISSUE,4
O901,0,NONE,0
O902,0,NONE,0
O903,0,NONE,0
O904,1,DELIVERY_DELAY,8
O905,0,NONE,0
O906,1,SIZE_FIT_ISSUE,2
O907,0,NONE,0
O908,1,SIZE_FIT_ISSUE,6
O909,0,NONE,0
O910,0,NONE,0
O911,0,NONE,0
O912,0,NONE,0
O913,1,DELIVERY_DELAY,1
O914,0,NONE,0
O915,1,QUALITY_DEFECT,6
O916,0,NONE,0
O917,0,NONE,0
O918,0,NONE,0
O919,0,NONE,0
O920,1,DELIVERY_DELAY,1
O921,1,SIZE_FIT_ISSUE,8
O922,0,NONE,0
O923,0,NONE,0
O924,1,SIZE_FIT_ISSUE,6
O925,0,NONE,0
O926,0,NONE,0
O927,0,NONE,0
O928,0,NONE,0
O929,1,SIZE_FIT_ISSUE,4
O930,1,SIZE_FIT_ISSUE,1
O931,0,NONE,0
O932,0,NONE,0
O933,0,NONE,0
O934,0,NONE,0
O935,0,NONE,0
O936,0,NONE,0
O937,0,NONE,0
O938,0,NONE,0
O939,0,NONE,0
O940,0,NONE,0
O941,0,NONE,0
O942,0,NONE,0
O943,0,NONE,0
O944,0,NONE,0
O945,0,NONE,0
O946,1,QUALITY_DEFECT,8
O947,0,NONE,0
O948,0,NONE,0
O949,1,DELIVERY_DELAY,7
O950,0,NONE,0
O951,0,NONE,0
O952,0,NONE,0
O953,0,NONE,0
O954,0,NONE,0
O955,0,NONE,0
O956,0,NONE,0
O957,1,SIZE_FIT_ISSUE,6
O958,0,NONE,0
O959,0,NONE,0
O960,0,NONE,0
O961,0,NONE,0
O962,1,SIZE_FIT_ISSUE,8
O963,0,NONE,0
O964,0,NONE,0
O965,0,NONE,0
O966,1,SIZE_FIT_ISSUE,4
O967,1,DELIVERY_DELAY,3
O968,1,QUALITY_DEFECT,8
O969,0,NONE,0
O970,1,SIZE_FIT_ISSUE,8
O971,0,NONE,0
O972,1,DELIVERY_DELAY,9
O973,0,NONE,0
O974,0,NONE,0
O975,0,NONE,0
O976,0,NONE,0
O977,0,NONE,0
O978,0,NONE,0
O979,1,DELIVERY_DELAY,5
O980,0,NONE,0
O981,0,NONE,0
O982,1,QUALITY_DEFECT,5
O983,0,NONE,0
O984,0,NONE,0
O985,0,NONE,0
O986,0,NONE,0
O987,1,SIZE_FIT_ISSUE,6
O988,0,NONE,0
O989,0,NONE,0
O990,0,NONE,0
O991,0,NONE,0
O992,0,NONE,0
O993,0,NONE,0
O994,1,DELIVERY_DELAY,8
O995,0,NONE,0
O996,0,NONE,0
O997,1,DELIVERY_DELAY,1
O998,0,NONE,0
O999,0,NONE,0
O1000,1,SIZE_FIT_ISSUE,10
O1001,1,QUALITY_DEFECT,4
O1002,0,NONE,0
O1003,0,NONE,0
O1004,0,NONE,0
O1005,1,SIZE_FIT_ISSUE,8
O1006,1,SIZE_FIT_ISSUE,2
O1007,0,NONE,0
O1008,1,SIZE_FIT_ISSUE,9
O1009,1,QUALITY_DEFECT,3
O1010,0,NONE,0
O1011,0,NONE,0
O1012,0,NONE,0
O1013,0,NONE,0
O1014,0,NONE,0
O1015,0,NONE,0
O1016,0,NONE,0
O1017,1,DELIVERY_DELAY,7
O1018,0,NONE,0
O1019,0,NONE,0
O1020,0,NONE,0
O1021,1,QUALITY_DEFECT,4
O1022,0,NONE,0
O1023,0,NONE,0
O1024,0,NONE,0
